Designator,Mid X,Mid Y,Rotation,Layer
C1,174.1,-92,0,top
C2,155.85,-102.8,0,top
C3,144.65,-78.3,90,top
C4,153.9,-73.3,0,top
C5,161.5,-83.4,90,top
C6,165.75,-66.6,0,top
C7,152.4,-69.61,0,top
D1,156.87,-69.625,0,top
J1,176.2,-126.5,0,top
R1,181.1,-105.5125,90,top
R2,176.3,-108.4,90,top
R3,174.2,-96.4,180,top
R4,186.2,-104,180,top
R5,150.6,-129.2,0,top
R6,122.2,-64.1,180,top
R7,127.5,-68.2,180,top
R8,161.28,-72.53,0,top
SW1,141.4,-127.7,0,top
SW2,130.8,-127.7,0,top
U1,140.67,-115.8,0,top
U2,138.7,-82.8,90,top
U3,129.4,-84.4,90,top
Y1,152.1,-78.75,0,top
