Ref,PosX,PosY,Rot,Side
C1,174.1,-92,0,top
C2,155.85,-102.8,0,top
C3,144.65,-78.3,90,top
C4,153.9,-73.3,0,top
C5,161.5,-83.4,90,top
C6,165.75,-66.6,0,top
C7,152.4,-69.61,0,top
C8,156.87,-69.625,0,top
C9,176.2,-126.5,0,top
C10,181.1,-105.5125,90,top
C11,176.3,-108.4,90,top
C12,174.2,-96.4,180,top
C13,186.2,-104,180,top
C14,150.6,-129.2,0,top
C15,122.2,-64.1,180,top
C16,127.5,-68.2,180,top
C17,161.28,-72.53,0,top
C18,141.4,-127.7,0,top
C19,130.8,-127.7,0,top
C20,140.67,-115.8,0,top
C21,138.7,-82.8,90,top
C22,129.4,-84.4,90,top
C23,152.1,-78.75,0,top
